data;dia_semana;horario;formato;funil;tipo_conteudo_id;tipo_conteudo;avatar_id;avatar;tema;cta;keyword_manychat;hashtags
2026-03-20;Sexta;07:00;REEL;MEIO;12;Historia e Autoridade Pessoal;viajante;Viajante;Eu aprendi portugues sem escola — foi isso que me ensinou a ensinar;Salva / Me conta sua historia | Comenta METODO;METODO;#espanhol #aprendaespanhol #espanholreal #mochilao #viagemparaaamericadosul #viajarsozinho #professoranativa #historiadaale #bastidores
2026-03-20;Sexta;09:30;CARROSSEL;FUNDO;6;Metodo e Bastidor;vai_morar_fora;Vai Morar Fora;Como nosso metodo prepara voce para o dia a dia real;Comenta METODO para saber mais | Comenta METODO;METODO;#espanholonline #aprenderespanhol #espanholreal #imigracao #vidanoexterior #morarfora #metodo #comoaprender #imersaonativa
2026-03-20;Sexta;12:00;REEL;MEIO;12;Historia e Autoridade Pessoal;academico;Academico;15 anos ensinando brasileiros — o que eu descobri;Salva / Me conta sua historia | Comenta METODO;METODO;#espanholreal #aprendaespanhol #espanholcomvoce #celu #siele #estudarnoexterior #professoranativa #bastidores #historiadaale
2026-03-20;Sexta;15:00;CARROSSEL;FUNDO;10;Prova Social;profissional;Profissional;Aluno foi promovido depois de destravar o espanhol;Comenta QUERO se voce quer o mesmo resultado | Comenta AULA;AULA;#espanhol #aprenderespanhol #aprendaespanhol #espanholparanegocio #espanholparatrabalho #carreirainternacional #resultado #depoimento #alunoreal
2026-03-20;Sexta;18:30;REEL;TOPO;5;Cultura e Diferencas;viajante;Viajante;Argentina vs Espanha: como cada um fala 'voce';Comenta seu pais favorito | Comenta VIAGEM;VIAGEM;#espanholonline #aprendaespanhol #espanholparabrasileiros #viajarsozinho #espanholnoexterior #espanholparaviagem #culturaespanhola #diferencas #curiosidades
2026-03-20;Sexta;20:00;CARROSSEL;MEIO;9;Quebra de Crencas;vai_morar_fora;Vai Morar Fora;Morar fora NAO garante fluencia — tem brasileiro com 10 anos que nao fala;Comenta se voce acreditava nisso | Comenta METODO;METODO;#espanhol #aprenderespanhol #espanholonline #imigracao #morarfora #brasileirosnaespanha #verdade #quebradecrencas #mentiradoespanhol
2026-03-21;Sabado;07:00;REEL;MEIO;9;Quebra de Crencas;academico;Academico;Estudar gramatica nao vai te fazer falar espanhol;Comenta se voce acreditava nisso | Comenta METODO;METODO;#aprenderespanhol #aprendaespanhol #espanholonline #siele #dele #estudarnoexterior #mentiradoespanhol #quebradecrencas #verdade
2026-03-21;Sabado;09:30;CARROSSEL;FUNDO;6;Metodo e Bastidor;profissional;Profissional;Por que metodo generico nao resolve espanhol corporativo;Comenta METODO para saber mais | Comenta METODO;METODO;#aprenderespanhol #aprendaespanhol #espanholreal #espanholparatrabalho #carreirainternacional #espanholparanegocio #metodo #comoaprender #imersaonativa
2026-03-21;Sabado;12:00;REEL;TOPO;1;Expressoes Idiomaticas;viajante;Viajante;Como falar 'se vira nos 30' em espanhol;Salva esse video / Manda pra quem precisa | Comenta ERROS;ERROS;#espanholparabrasileiros #espanholreal #aprenderespanhol #viagemparaaamericadosul #mochilao #espanholparaviagem #comofalarem #expressoes #espanholnativo
2026-03-21;Sabado;15:00;CARROSSEL;TOPO;3;Erros e Falsos Amigos;vai_morar_fora;Vai Morar Fora;PISO em espanhol e apartamento, nao chao!;Comenta se voce ja falou isso | Comenta FALSOS;FALSOS;#espanholonline #espanholreal #espanhol #brasileirosnaespanha #morarfora #brasileironoexterior #cuidado #falsoscognatos #erroscomuns
2026-03-21;Sabado;18:30;REEL;TOPO;2;Palavras do Cotidiano;academico;Academico;Como falar 'bolsa de estudos' em espanhol;Comenta qual palavra voce queria saber | Comenta VIAGEM;VIAGEM;#espanholparabrasileiros #aprenderespanhol #aprendaespanhol #siele #espanholparaconcurso #proficienciaemespanhol #vocabulario #espanholdodia #palavradodia
2026-03-21;Sabado;20:00;CARROSSEL;MEIO;7;Dor e Identificacao;profissional;Profissional;Voce e competente na sua area mas trava em espanhol?;Comenta SIM se voce se identifica | Comenta TRAVA;TRAVA;#espanholreal #espanholonline #aprenderespanhol #negociosinternacionais #espanholcorporativo #carreirainternacional #voceseidentifica #travanoespanhol #identificacao
2026-03-22;Domingo;07:00;REEL;MEIO;9;Quebra de Crencas;viajante;Viajante;Portunhol NAO e espanhol — e por isso que voce trava;Comenta se voce acreditava nisso | Comenta METODO;METODO;#aprendaespanhol #aprenderespanhol #espanhol #espanholparaviagem #espanholbasico #viajarsozinho #mentiradoespanhol #verdade #quebradecrencas
2026-03-22;Domingo;09:30;CARROSSEL;TOPO;5;Cultura e Diferencas;vai_morar_fora;Vai Morar Fora;Choque cultural: o que ninguem conta sobre morar na Espanha;Comenta seu pais favorito | Comenta VIAGEM;VIAGEM;#espanhol #espanholreal #espanholparabrasileiros #brasileirosnaespanha #morarfora #imigracao #culturaespanhola #curiosidades #diferencas
2026-03-22;Domingo;12:00;REEL;MEIO;4;Perguntas de Seguidores;academico;Academico;Seguidor pergunta: SER vs ESTAR — regra definitiva?;Manda sua duvida nos comentarios | Comenta PRONUNCIA;PRONUNCIA;#espanholparabrasileiros #espanhol #espanholonline #estudarnoexterior #siele #dele #aleresponde #perguntadeseguidor #duvida
2026-03-22;Domingo;15:00;CARROSSEL;FUNDO;10;Prova Social;profissional;Profissional;Vendedora triplicou clientes ao dominar espanhol de negocios;Comenta QUERO se voce quer o mesmo resultado | Comenta AULA;AULA;#espanholparabrasileiros #aprenderespanhol #espanholcomvoce #negociosinternacionais #espanholprofissional #espanholparanegocio #resultado #alunoreal #depoimento
2026-03-22;Domingo;18:30;REEL;TOPO;1;Expressoes Idiomaticas;viajante;Viajante;Como falar 'dar um jeitinho' em espanhol;Salva esse video / Manda pra quem precisa | Comenta ERROS;ERROS;#aprenderespanhol #espanholparabrasileiros #aprendaespanhol #viajarsozinho #espanholparaviagem #espanholnoexterior #comofalarem #expressoes #espanholnativo
2026-03-22;Domingo;20:00;CARROSSEL;FUNDO;11;CTA Indireto;vai_morar_fora;Vai Morar Fora;Se voce vai se mudar e quer chegar preparado, eu te ajudo;Comenta AULA | Comenta AULA;AULA;#espanholreal #espanholonline #aprenderespanhol #imigracao #morarfora #brasileirosnaespanha #linknabioo #aulademonstrativa #comece
2026-03-23;Segunda;07:00;REEL;TOPO;5;Cultura e Diferencas;academico;Academico;Espanhol da Espanha vs America Latina — diferencas reais;Comenta seu pais favorito | Comenta VIAGEM;VIAGEM;#espanholreal #espanholparabrasileiros #aprendaespanhol #dele #espanholparaenem #proficienciaemespanhol #curiosidades #diferencas #culturaespanhola
2026-03-23;Segunda;09:30;CARROSSEL;MEIO;12;Historia e Autoridade Pessoal;profissional;Profissional;Como uma professora de espanhol construiu um negocio digital;Salva / Me conta sua historia | Comenta METODO;METODO;#aprenderespanhol #aprendaespanhol #espanhol #espanholparatrabalho #espanholprofissional #carreirainternacional #historiadaale #bastidores #professoranativa
2026-03-23;Segunda;12:00;REEL;TOPO;1;Expressoes Idiomaticas;viajante;Viajante;Como falar 'to de boa' em espanhol;Salva esse video / Manda pra quem precisa | Comenta ERROS;ERROS;#espanhol #aprendaespanhol #aprenderespanhol #viagemparaaamericadosul #espanholnoexterior #espanholbasico #comofalarem #espanholnativo #expressoes
2026-03-23;Segunda;15:00;CARROSSEL;FUNDO;6;Metodo e Bastidor;vai_morar_fora;Vai Morar Fora;Repeticao espacada: por que voce esquece e como resolver;Comenta METODO para saber mais | Comenta METODO;METODO;#espanhol #aprendaespanhol #aprenderespanhol #vidanoexterior #brasileironoexterior #brasileirosnaargentina #metodo #comoaprender #imersaonativa
2026-03-23;Segunda;18:30;REEL;MEIO;8;Desejo e Transformacao;academico;Academico;Imagina passar na prova com confianca total...;Comenta QUERO se esse e seu sonho | Comenta AULA;AULA;#aprenderespanhol #espanholparabrasileiros #aprendaespanhol #dele #celu #espanholparaenem #transformacao #destrave #faleespanhol
2026-03-23;Segunda;20:00;CARROSSEL;TOPO;2;Palavras do Cotidiano;profissional;Profissional;Como falar 'reuniao' em espanhol;Comenta qual palavra voce queria saber | Comenta VIAGEM;VIAGEM;#aprenderespanhol #espanholreal #espanhol #carreirainternacional #espanholparatrabalho #negociosinternacionais #espanholdodia #vocabulario #palavradodia
2026-03-24;Terca;07:00;REEL;MEIO;7;Dor e Identificacao;viajante;Viajante;Voce entende espanhol mas trava na hora de falar?;Comenta SIM se voce se identifica | Comenta TRAVA;TRAVA;#espanholonline #aprendaespanhol #espanholreal #espanholbasico #espanholnoexterior #viagemparaaamericadosul #voceseidentifica #travanoespanhol #identificacao
2026-03-24;Terca;09:30;CARROSSEL;TOPO;5;Cultura e Diferencas;vai_morar_fora;Vai Morar Fora;Sistema de saude Espanha vs Brasil — a diferenca;Comenta seu pais favorito | Comenta VIAGEM;VIAGEM;#aprendaespanhol #espanholparabrasileiros #espanholonline #brasileirosnaespanha #vidanoexterior #morarfora #curiosidades #culturaespanhola #diferencas
2026-03-24;Terca;12:00;REEL;TOPO;5;Cultura e Diferencas;academico;Academico;Paises onde espanhol e lingua oficial (sao mais que voce pensa);Comenta seu pais favorito | Comenta VIAGEM;VIAGEM;#espanholreal #aprenderespanhol #espanhol #siele #espanholparaenem #estudarnoexterior #curiosidades #diferencas #culturaespanhola
2026-03-24;Terca;15:00;CARROSSEL;FUNDO;6;Metodo e Bastidor;profissional;Profissional;Como nosso metodo adapta o aprendizado para seu contexto;Comenta METODO para saber mais | Comenta METODO;METODO;#espanholcomvoce #espanholreal #aprendaespanhol #espanholprofissional #espanholcorporativo #carreirainternacional #imersaonativa #comoaprender #metodo
